,Artist Reputation,Height,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Cost
0,0.0,4.0,Clay,4.7,19.42,No,No,Yes,Airways,Yes,Working Class,No,127.18
1,0.62,31.0,Clay,9.2,19.05,No,No,No,Roadways,Yes,Working Class,No,747.19
2,0.37,18.0,Stone,221.515,90.95,No,Yes,No,Roadways,No,Wealthy,No,2621.29875
3,0.49,7.0,Stone,10.31,70.65,No,Yes,Yes,,No,Wealthy,,621.03
4,0.4,26.0,Brass,22.03,57.78,No,No,No,Airways,No,Working Class,No,687.5
5,0.55,5.0,Wood,3.44,24.81,No,Yes,No,,No,Working Class,No,201.68
6,0.49,23.0,,18.06,16.1,No,No,No,Waterways,No,Wealthy,,298.15
7,0.51,15.0,Bronze,6.0,10.77,Yes,No,Yes,Waterways,No,Working Class,No,293.56
8,0.57,25.0,Aluminium,6.2,14.85,No,No,No,Roadways,No,Working Class,No,297.34
9,0.83,16.0,Clay,4.69,24.87,Yes,Yes,No,Airways,Yes,Working Class,No,689.96
10,0.77,17.0,Brass,70.87,60.76,No,No,Yes,,No,Working Class,No,-1267.4912499999998
11,0.9,24.0,,13.42,16.23,No,Yes,Yes,Roadways,No,Wealthy,,940.47
12,0.66,10.0,Clay,3.77,14.95,Yes,No,No,Waterways,Yes,Working Class,No,-218.64
13,0.47,32.0,Wood,5.34,16.62,No,No,No,Roadways,No,Working Class,Yes,221.45
14,0.35,,,17.38,45.69,No,Yes,No,,No,Working Class,No,473.13
15,0.25,34.0,Clay,21.89,78.08,No,Yes,Yes,Airways,Yes,Wealthy,Yes,957.66
16,0.8,8.0,Stone,43.58,87.01,No,No,Yes,Roadways,No,Working Class,,1544.27
17,0.53,,,7.31,11.29,No,No,Yes,,No,Working Class,No,313.67
18,0.54,57.0,Aluminium,7.92,23.99,No,No,Yes,Waterways,No,Working Class,No,654.74
19,0.54,19.0,,5.05,12.16,No,No,Yes,Roadways,Yes,Working Class,Yes,288.03
20,,,,221.515,57.72,Yes,No,No,Waterways,No,Working Class,No,-1267.4912499999998
21,0.47,32.0,Brass,196.06,48.22,No,No,No,Roadways,No,Working Class,No,906.91
22,0.51,,Aluminium,3.52,19.9,Yes,No,Yes,,No,Working Class,,253.99
23,0.45,14.0,Brass,12.1,23.86,No,Yes,Yes,,No,Working Class,No,359.29
24,0.76,20.0,Wood,3.02,20.79,No,Yes,Yes,Airways,No,Wealthy,No,559.49
25,0.56,27.0,Brass,22.62,65.51,Yes,Yes,No,Airways,No,Wealthy,No,1422.25
26,0.48,22.0,,6.75,14.94,No,Yes,Yes,,No,Working Class,No,326.09
27,0.41,3.0,Stone,6.26,17.88,Yes,Yes,No,Airways,No,Wealthy,No,286.51
28,0.74,20.0,Brass,38.68,76.74,No,Yes,No,Roadways,No,Working Class,Yes,1358.62
29,0.73,19.0,Brass,20.37,41.01,No,No,No,Airways,No,Working Class,No,763.92
30,0.73,5.0,Stone,26.18,16.33,No,Yes,No,Airways,No,Wealthy,No,431.66
31,0.56,34.0,Bronze,22.68,39.25,Yes,No,No,Waterways,No,Working Class,No,685.42
32,0.16,20.0,Bronze,22.94,86.44,No,Yes,No,,No,Wealthy,No,487.05
33,0.68,24.0,,5.1,23.97,No,Yes,No,,No,Working Class,No,432.85
34,0.56,5.0,Marble,7.67,10.53,No,No,Yes,,No,Working Class,No,303.65
35,0.66,35.0,,126.29,55.62,No,No,No,Roadways,No,Working Class,,1320.44
